First Name,Notes,Address
WEYERHAEUSER GATE (Road to),At MP 33.4 on Hwy 2 turn South on For. Serv. Rd 62 & go 6 mi to gate,"47.81944, -121.60889"
WEYERHAEUSER GATE (SPUR 10),"Exit 31, I-90 same directions as Spur 10 gate","47.57528, -121.73694"
WHITE LAKE,"Adj to Black Diamond Rd, drains to Green River","47.30056, -122.20500"
WHITE RIVER MILL POND,"Log pond, in/out Boise Creek to White River","47.18611, -121.92500"
WHITE RIVER PARK,Oravetz Rd & Mill Pond Dr   Auburn,"47.26722, -122.22417"
WHITE RIVER RANGER STATION,On N side of Roosevelt Ave E just before King County Fairgrounds,"47.20056, -121.96778"
WHITMER LAKE,"2000 ft SW of Rock Lake, Drains to M Fk Snoqualmie R.","47.54056, -121.45083"
WHITNEY BRIDGE PARK,SE Green Valley Rd   & 218th Av SE  King Co.,"47.28333, -122.05333"
WIDOW LAKE,"Drains to MF Snoqualmie River, 1 mi S of Russian Butte","47.48694, -121.59611"
WILDCAT LAKE (LOWER),"1500 ft E fm Upper Wildcat Lake, dr via Wildcat Creek","47.48528, -121.47861"
WILDERNESS LAKE,"Extends into 204D S fm Maple Valley, drains Jenkins Crk ","47.37667, -122.03611"
WILDERNESS LAKE,"Extension of lake in 204B, drains Jenkins Creek to Green River","47.37306, -122.03417"
WILDWOOD PARK  (Bellevue),102nd Av SE & SE 3rd St   Bellevue,"47.51722, -122.20278"
WILLIAM F MCCORMIC PARK,Stephens St next to Snoqualmie River  Duvall,"47.73972, -121.98694"
WILLIAMS HOLE,"6 mi E from Greenwater on N side Divide Ridge, dr to Rock Creek","47.15000, -121.52333"
WILLIAMS LAKE TRAILHEAD,Trail starts from trail 1030,"47.54333, -121.25000"
WILSON LAKE,"1 1/4 mi SE of Carnation, drains to Tolt River","47.63833, -121.88667"
WINDY GAP,"On Pacific Crest trail, on King-Kittitas County Lines ","47.09917, -121.40361"
WINDY LAKE,"2000 ft SW of Kaleetan Lake, dr to Kaleetan Lake","47.46083, -121.50194"
WINTER LAKE,"E of Bengston Lake, S of Snohomish County Line","47.76583, -121.68583"
WISEMAN LAKE,"2000 ft S from Deep Lake, drain to Green River","47.26583, -121.94222"
WITTENMEYER LAKE,At 124 Ave NE and NE 124th St,"47.71083, -122.17500"
WRIGHT MOUNTAIN,Between Gem and Lower Wildcat Lakes,"47.48111, -121.46556"
YAKIMA PASS,On King-Kittitas County Line west of Lost Lake,"47.33694, -121.43139"
YELLOW LAKE,"3 mi N of Issaquah, drains to N Fk Issaquah Creek","47.57222, -122.01056"
